year,party,support
1975,1,0
1975,2,0.242
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0.11
1975,9,0.648
1975,10,0
1975,11,0
1975,12,0
1979,1,0
1979,2,0
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0
1979,9,0
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.139
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.271
1983,8,0.124
1983,9,0.467
1983,10,0
1983,11,0
1983,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.274
1991,8,0.141
1991,9,0.427
1991,10,0
1991,11,0
1991,12,0.158
1995,1,0
1995,2,0.189
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0.002
1995,8,0.056
1995,9,0.312
1995,10,0
1995,11,0.38
1995,12,0.061
1999,1,0
1999,2,0.201
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0.256
1999,10,0
1999,11,0.543
1999,12,0
2003,1,0
2003,2,0.087
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0.012
2003,8,0
2003,9,0.344
2003,10,0
2003,11,0.557
2003,12,0
2007,1,0
2007,2,0
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0.344
2007,8,0
2007,9,0.656
2007,10,0
2007,11,0
2007,12,0
2011,1,0
2011,2,0
2011,3,0.037
2011,4,0
2011,5,0
2011,6,0
2011,7,0.018
2011,8,0.068
2011,9,0.552
2011,10,0
2011,11,0.324
2011,12,0
2015,1,0
2015,2,0.228
2015,3,0
2015,4,0
2015,5,0
2015,6,0
2015,7,0.015
2015,8,0
2015,9,0.338
2015,10,0
2015,11,0.418
2015,12,0
