year,party,support
1975,1,0.077
1975,2,0.414
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.153
1975,8,0
1975,9,0.357
1975,10,0
1975,11,0
1975,12,0
1979,1,0.046
1979,2,0.391
1979,3,0
1979,4,0.044
1979,5,0
1979,6,0
1979,7,0.008
1979,8,0
1979,9,0.425
1979,10,0
1979,11,0.086
1979,12,0
1983,1,0.034
1983,2,0.382
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.088
1983,8,0.087
1983,9,0.301
1983,10,0
1983,11,0.108
1983,12,0
1987,1,0
1987,2,0.422
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0.345
1987,10,0
1987,11,0.203
1987,12,0.03
1991,1,0.038
1991,2,0.407
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0.286
1991,10,0
1991,11,0.13
1991,12,0.138
1995,1,0
1995,2,0.398
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0.011
1995,8,0
1995,9,0.315
1995,10,0
1995,11,0.161
1995,12,0.115
1999,1,0
1999,2,0.397
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0.406
1999,10,0
1999,11,0.197
1999,12,0
2003,1,0
2003,2,0.442
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.048
2003,9,0.288
2003,10,0
2003,11,0.222
2003,12,0
2007,1,0
2007,2,0.363
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0
2007,8,0
2007,9,0.333
2007,10,0
2007,11,0.305
2007,12,0
2011,1,0
2011,2,0.363
2011,3,0
2011,4,0
2011,5,0
2011,6,0
2011,7,0.03
2011,8,0.066
2011,9,0.116
2011,10,0
2011,11,0.397
2011,12,0.028
2015,1,0
2015,2,0.324
2015,3,0.034
2015,4,0
2015,5,0
2015,6,0
2015,7,0.043
2015,8,0
2015,9,0.119
2015,10,0
2015,11,0.444
2015,12,0.036
