year,party,support
1975,1,0
1975,2,0
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0.036
1975,8,0.964
1975,9,0
1975,10,0
1975,11,0
1975,12,0
1979,1,0
1979,2,0
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0.036
1979,8,0.964
1979,9,0
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.085
1983,8,0.915
1983,9,0
1983,10,0
1983,11,0
1983,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0.329
1987,8,0.474
1987,9,0.197
1987,10,0
1987,11,0
1987,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.034
1991,8,0.966
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0.021
1995,8,0.93
1995,9,0
1995,10,0
1995,11,0
1995,12,0.049
1999,1,0
1999,2,0
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0
1999,10,0
1999,11,0
1999,12,0
2003,1,0
2003,2,0
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0.691
2003,9,0
2003,10,0
2003,11,0.309
2003,12,0
2007,1,0
2007,2,0.13
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0.199
2007,8,0.362
2007,9,0
2007,10,0
2007,11,0.309
2007,12,0
2011,1,0
2011,2,0
2011,3,0
2011,4,0
2011,5,0
2011,6,0
2011,7,0.606
2011,8,0
2011,9,0
2011,10,0
2011,11,0.394
2011,12,0
2015,1,0
2015,2,0
2015,3,0
2015,4,0
2015,5,0
2015,6,0
2015,7,0.7
2015,8,0
2015,9,0
2015,10,0
2015,11,0.3
2015,12,0
