year,party,support
1975,1,0
1975,2,0.409
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0.125
1975,9,0.466
1975,10,0
1975,11,0
1975,12,0
1979,1,0
1979,2,0
1979,3,0
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0
1979,9,0
1979,10,0
1979,11,0
1979,12,0
1983,1,0
1983,2,0.191
1983,3,0
1983,4,0
1983,5,0
1983,6,0
1983,7,0.269
1983,8,0.113
1983,9,0.428
1983,10,0
1983,11,0
1983,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0.363
1991,8,0.132
1991,9,0.407
1991,10,0
1991,11,0
1991,12,0.098
1995,1,0
1995,2,0.151
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0.007
1995,8,0.067
1995,9,0.317
1995,10,0
1995,11,0.394
1995,12,0.064
1999,1,0
1999,2,0.181
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0.294
1999,10,0
1999,11,0.525
1999,12,0
2003,1,0
2003,2,0.096
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0.008
2003,8,0
2003,9,0.383
2003,10,0
2003,11,0.513
2003,12,0
2007,1,0
2007,2,0
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0.294
2007,8,0
2007,9,0.706
2007,10,0
2007,11,0
2007,12,0
2011,1,0
2011,2,0
2011,3,0.037
2011,4,0
2011,5,0
2011,6,0
2011,7,0.015
2011,8,0.045
2011,9,0.45
2011,10,0
2011,11,0.453
2011,12,0
2015,1,0
2015,2,0.153
2015,3,0
2015,4,0
2015,5,0
2015,6,0
2015,7,0.012
2015,8,0
2015,9,0.275
2015,10,0
2015,11,0.56
2015,12,0
